id,CustomerType,Class,satisfaction
70172,Loyal Customer,Eco Plus,neutral or dissatisfied
110028,Loyal Customer,Business,satisfied
119299,Loyal Customer,Business,satisfied
96462,Loyal Customer,Business,satisfied
70354,Loyal Customer,Business,satisfied
66246,Loyal Customer,Eco,neutral or dissatisfied
22434,Loyal Customer,Eco,neutral or dissatisfied
43510,Loyal Customer,Eco,neutral or dissatisfied
102956,Loyal Customer,Eco,neutral or dissatisfied
48492,Loyal Customer,Business,satisfied
27809,disloyal Customer,Eco,neutral or dissatisfied
30089,Loyal Customer,Eco,neutral or dissatisfied
96517,Loyal Customer,Eco,satisfied
64138,Loyal Customer,Business,satisfied
103012,Loyal Customer,Business,satisfied
124114,Loyal Customer,Business,satisfied
82042,Loyal Customer,Eco,neutral or dissatisfied
7467,Loyal Customer,Business,satisfied
78972,Loyal Customer,Business,satisfied
126625,Loyal Customer,Business,satisfied
92027,Loyal Customer,Business,satisfied
61033,Loyal Customer,Business,satisfied
112142,disloyal Customer,Business,neutral or dissatisfied
121358,disloyal Customer,Business,neutral or dissatisfied
88062,Loyal Customer,Business,satisfied
22031,Loyal Customer,Eco Plus,neutral or dissatisfied
123589,Loyal Customer,Eco,neutral or dissatisfied
93076,Loyal Customer,Eco Plus,neutral or dissatisfied
65420,disloyal Customer,Business,satisfied
44405,Loyal Customer,Eco,neutral or dissatisfied
77591,Loyal Customer,Business,satisfied
23400,Loyal Customer,Eco,neutral or dissatisfied
114684,disloyal Customer,Eco,neutral or dissatisfied
56161,Loyal Customer,Business,satisfied
129579,Loyal Customer,Business,satisfied
51013,Loyal Customer,Eco,neutral or dissatisfied
91746,Loyal Customer,Business,satisfied
4233,Loyal Customer,Business,satisfied
14070,Loyal Customer,Business,neutral or dissatisfied
106007,disloyal Customer,Eco,neutral or dissatisfied
116004,Loyal Customer,Eco,neutral or dissatisfied
68886,Loyal Customer,Business,satisfied
73604,Loyal Customer,Business,satisfied
105708,Loyal Customer,Business,satisfied
73058,disloyal Customer,Business,neutral or dissatisfied
8346,Loyal Customer,Business,satisfied
31698,disloyal Customer,Eco,neutral or dissatisfied
121929,Loyal Customer,Business,satisfied
30704,Loyal Customer,Eco Plus,satisfied
58896,disloyal Customer,Eco,neutral or dissatisfied
26920,Loyal Customer,Eco,neutral or dissatisfied
13884,Loyal Customer,Eco,satisfied
81719,Loyal Customer,Business,satisfied
85554,Loyal Customer,Business,satisfied
101275,Loyal Customer,Business,satisfied
76449,Loyal Customer,Business,satisfied
19578,Loyal Customer,Eco,neutral or dissatisfied
56446,Loyal Customer,Eco,neutral or dissatisfied
114039,Loyal Customer,Business,satisfied
47057,Loyal Customer,Business,satisfied
87296,Loyal Customer,Eco,neutral or dissatisfied
49608,Loyal Customer,Eco,satisfied
23328,Loyal Customer,Business,satisfied
111570,Loyal Customer,Business,satisfied
129585,Loyal Customer,Business,satisfied
31631,Loyal Customer,Business,satisfied
38913,Loyal Customer,Business,satisfied
107079,Loyal Customer,Eco,neutral or dissatisfied
57995,Loyal Customer,Business,satisfied
146,Loyal Customer,Business,satisfied
13776,disloyal Customer,Eco,neutral or dissatisfied
31358,Loyal Customer,Business,satisfied
55871,Loyal Customer,Business,satisfied
117547,Loyal Customer,Business,satisfied
68134,Loyal Customer,Business,satisfied
23518,Loyal Customer,Eco,neutral or dissatisfied
