id,Gender,Age,CustomerType
8581,Male,85,Loyal Customer
69074,Male,85,Loyal Customer
37233,Male,85,Loyal Customer
67155,Female,85,disloyal Customer
125071,Female,85,Loyal Customer
109731,Female,85,Loyal Customer
81345,Female,85,disloyal Customer
66360,Female,85,disloyal Customer
89352,Male,85,disloyal Customer
39438,Female,85,Loyal Customer
32709,Male,85,Loyal Customer
127820,Female,85,disloyal Customer
92780,Female,85,Loyal Customer
39236,Female,85,disloyal Customer
100562,Male,85,disloyal Customer
32694,Female,85,Loyal Customer
43895,Female,85,Loyal Customer
117306,Female,85,Loyal Customer
32729,Female,85,disloyal Customer
70255,Female,85,Loyal Customer
87679,Female,80,disloyal Customer
110967,Female,80,Loyal Customer
70492,Female,80,Loyal Customer
56052,Male,80,Loyal Customer
1877,Female,80,disloyal Customer
58690,Female,80,disloyal Customer
115738,Male,80,Loyal Customer
20360,Female,80,disloyal Customer
17812,Female,80,Loyal Customer
72349,Female,80,disloyal Customer
19710,Female,80,Loyal Customer
110214,Female,80,disloyal Customer
29770,Male,80,disloyal Customer
122689,Female,80,disloyal Customer
97788,Female,80,Loyal Customer
19577,Male,80,Loyal Customer
105774,Female,80,disloyal Customer
21102,Male,80,Loyal Customer
90956,Male,80,Loyal Customer
43881,Female,80,disloyal Customer
28069,Male,80,Loyal Customer
115459,Female,80,Loyal Customer
6804,Female,80,disloyal Customer
25965,Female,80,disloyal Customer
74628,Female,80,Loyal Customer
44137,Female,80,Loyal Customer
96491,Male,80,Loyal Customer
63590,Female,80,Loyal Customer
107774,Female,80,Loyal Customer
96400,Female,80,Loyal Customer
52336,Male,80,Loyal Customer
115062,Male,80,Loyal Customer
879,Female,80,Loyal Customer
76850,Male,80,Loyal Customer
116634,Male,80,Loyal Customer
127351,Male,80,Loyal Customer
13547,Female,80,disloyal Customer
45718,Female,80,Loyal Customer
88485,Female,80,disloyal Customer
37584,Female,80,Loyal Customer
86585,Female,80,disloyal Customer
17536,Female,80,disloyal Customer
25299,Female,80,Loyal Customer
121341,Male,80,Loyal Customer
36789,Female,80,disloyal Customer
14363,Female,80,Loyal Customer
94057,Male,80,Loyal Customer
85577,Female,80,Loyal Customer
114082,Female,80,Loyal Customer
23806,Male,80,Loyal Customer
96548,Male,80,Loyal Customer
94899,Male,80,disloyal Customer
49969,Female,80,disloyal Customer
23800,Female,80,Loyal Customer
20701,Male,80,Loyal Customer
54176,Female,80,Loyal Customer
9225,Female,80,Loyal Customer
64678,Female,80,Loyal Customer
87825,Female,80,disloyal Customer
71623,Female,80,disloyal Customer
19668,Female,80,Loyal Customer
23154,Female,80,disloyal Customer
108142,Male,80,Loyal Customer
22134,Male,80,disloyal Customer
125580,Male,80,Loyal Customer
30920,Female,80,disloyal Customer
115156,Female,80,Loyal Customer
5804,Male,79,Loyal Customer
65919,Male,79,Loyal Customer
32623,Male,79,Loyal Customer
110897,Male,79,Loyal Customer
67827,Female,79,Loyal Customer
104177,Male,79,Loyal Customer
117090,Female,79,Loyal Customer
11654,Male,79,Loyal Customer
65362,Male,79,Loyal Customer
2312,Male,79,Loyal Customer
112223,Female,79,Loyal Customer
1032,Female,79,Loyal Customer
5171,Female,79,Loyal Customer
127051,Female,79,Loyal Customer
93529,Male,79,Loyal Customer
10709,Female,79,Loyal Customer
50392,Female,79,Loyal Customer
107993,Male,79,Loyal Customer
17674,Female,79,Loyal Customer
7176,Male,79,disloyal Customer
10767,Female,79,Loyal Customer
4841,Male,79,Loyal Customer
59207,Female,79,Loyal Customer
49775,Male,79,Loyal Customer
64852,Female,79,Loyal Customer
3301,Female,78,Loyal Customer
105263,Male,78,Loyal Customer
54391,Female,78,Loyal Customer
32526,Male,78,Loyal Customer
97800,Female,78,Loyal Customer
10837,Male,78,Loyal Customer
22133,Male,78,Loyal Customer
60392,Female,78,Loyal Customer
949,Female,78,Loyal Customer
83748,Female,78,Loyal Customer
44944,Female,78,Loyal Customer
2129,Female,78,Loyal Customer
96202,Male,78,Loyal Customer
52266,Male,78,Loyal Customer
105876,Male,78,Loyal Customer
66204,Male,78,Loyal Customer
83837,Female,78,Loyal Customer
64734,Male,78,Loyal Customer
12401,Female,78,Loyal Customer
29847,Female,78,Loyal Customer
21692,Male,78,Loyal Customer
110780,Male,77,Loyal Customer
1649,Male,77,Loyal Customer
3824,Female,77,Loyal Customer
88227,Female,77,Loyal Customer
84248,Male,77,Loyal Customer
10705,Male,77,Loyal Customer
117446,Female,77,Loyal Customer
102306,Male,77,disloyal Customer
7009,Female,77,Loyal Customer
10775,Female,77,Loyal Customer
4739,Male,77,Loyal Customer
22338,Male,77,Loyal Customer
108343,Female,77,Loyal Customer
56170,Female,77,Loyal Customer
84860,Male,77,Loyal Customer
88220,Male,77,disloyal Customer
45691,Male,77,Loyal Customer
78006,Male,77,Loyal Customer
83409,Female,77,Loyal Customer
49141,Female,77,Loyal Customer
103592,Female,77,Loyal Customer
64776,Male,77,Loyal Customer
94629,Female,77,Loyal Customer
56443,Female,77,Loyal Customer
44043,Male,77,Loyal Customer
27452,Female,77,Loyal Customer
10845,Female,77,Loyal Customer
46932,Male,77,Loyal Customer
107721,Female,77,Loyal Customer
86426,Female,77,Loyal Customer
51711,Male,77,Loyal Customer
115934,Female,77,Loyal Customer
23678,Female,77,Loyal Customer
55085,Female,77,Loyal Customer
61077,Male,77,Loyal Customer
64969,Male,77,Loyal Customer
24624,Female,77,Loyal Customer
47183,Female,77,Loyal Customer
98182,Male,77,Loyal Customer
10856,Male,77,Loyal Customer
75323,Female,77,Loyal Customer
114268,Male,77,Loyal Customer
6152,Male,77,Loyal Customer
86812,Female,77,Loyal Customer
42814,Male,77,Loyal Customer
73198,Female,77,Loyal Customer
127050,Male,77,Loyal Customer
43343,Female,77,Loyal Customer
108592,Female,77,Loyal Customer
94436,Male,77,Loyal Customer
79433,Female,77,Loyal Customer
31424,Female,77,Loyal Customer
29356,Male,77,Loyal Customer
19880,Male,77,Loyal Customer
83267,Male,77,Loyal Customer
74131,Female,77,Loyal Customer
80467,Female,77,Loyal Customer
39643,Male,77,Loyal Customer
114259,Male,77,Loyal Customer
914,Male,77,disloyal Customer
14892,Male,77,Loyal Customer
71858,Female,77,Loyal Customer
101131,Female,77,Loyal Customer
34449,Male,76,Loyal Customer
115313,Female,76,Loyal Customer
26143,Male,76,Loyal Customer
43338,Female,76,Loyal Customer
102712,Female,76,Loyal Customer
32449,Female,76,Loyal Customer
80920,Female,76,Loyal Customer
77901,Male,76,Loyal Customer
43021,Female,76,Loyal Customer
7007,Male,76,Loyal Customer
48980,Female,76,Loyal Customer
79657,Male,76,Loyal Customer
60390,Female,76,Loyal Customer
93438,Female,76,Loyal Customer
36331,Male,76,Loyal Customer
4281,Female,76,Loyal Customer
12053,Female,76,Loyal Customer
35694,Male,76,Loyal Customer
32522,Female,76,Loyal Customer
54388,Female,76,Loyal Customer
87288,Female,76,Loyal Customer
115756,Female,76,Loyal Customer
99688,Female,76,Loyal Customer
123167,Female,76,Loyal Customer
26177,Male,76,Loyal Customer
6383,Female,76,Loyal Customer
98116,Female,76,Loyal Customer
110075,Male,76,Loyal Customer
70402,Male,76,Loyal Customer
16579,Male,76,Loyal Customer
72112,Female,76,Loyal Customer
57891,Female,76,Loyal Customer
50447,Female,76,Loyal Customer
2187,Male,76,Loyal Customer
14237,Male,76,Loyal Customer
106975,Female,76,Loyal Customer
115788,Female,76,Loyal Customer
5432,Male,76,Loyal Customer
50088,Female,75,Loyal Customer
118608,Female,75,Loyal Customer
8574,Male,75,Loyal Customer
61736,Female,75,Loyal Customer
58279,Female,75,Loyal Customer
84265,Male,75,Loyal Customer
15080,Female,75,Loyal Customer
71857,Female,75,Loyal Customer
72281,Female,75,Loyal Customer
57337,Female,75,Loyal Customer
53785,Female,75,Loyal Customer
107610,Male,75,Loyal Customer
114469,Male,75,Loyal Customer
15938,Female,75,Loyal Customer
24033,Female,75,Loyal Customer
87564,Female,75,Loyal Customer
36323,Female,75,Loyal Customer
35858,Male,75,Loyal Customer
124816,Female,75,Loyal Customer
125427,Male,75,Loyal Customer
69949,Female,75,Loyal Customer
29938,Female,75,Loyal Customer
81217,Female,75,Loyal Customer
3257,Male,75,Loyal Customer
94604,Male,75,Loyal Customer
92740,Male,75,Loyal Customer
23319,Male,75,Loyal Customer
63322,Male,75,Loyal Customer
55238,Male,75,Loyal Customer
90983,Male,75,Loyal Customer
5520,Male,75,Loyal Customer
48181,Male,75,Loyal Customer
105766,Female,75,Loyal Customer
129589,Female,75,Loyal Customer
113507,Male,75,Loyal Customer
11004,Female,75,Loyal Customer
52580,Male,75,Loyal Customer
30537,Male,75,Loyal Customer
98971,Male,75,Loyal Customer
73650,Female,75,Loyal Customer
21078,Male,75,Loyal Customer
67826,Female,74,Loyal Customer
115678,Female,74,Loyal Customer
39678,Male,74,Loyal Customer
113548,Male,74,disloyal Customer
29438,Female,74,Loyal Customer
114592,Female,74,Loyal Customer
8681,Male,74,Loyal Customer
68660,Male,74,Loyal Customer
124665,Female,74,Loyal Customer
63919,Male,74,Loyal Customer
44968,Female,74,Loyal Customer
115554,Male,74,Loyal Customer
127091,Male,74,Loyal Customer
87807,Female,74,Loyal Customer
